Unnamed: 0.1,Unnamed: 0,id,neo_reference_id,name,name_limited,designation,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,kilometers_estimated_diameter_min,kilometers_estimated_diameter_max,orbit_id,orbit_class_type,perihelion_distance,aphelion_distance,first_observation_date,last_observation_date,orbit_class_description,Median Size,start_date,end_date,duration,After Atlas
0,0,2001981,2001981,1981 Midas (1973 EA),Midas,1981,15.22,True,False,2.4019003012,5.3708123486,229,APO,0.621512027006993,2.931359900542769,1973-03-06,2021-10-20,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.4844560237000002,1973-03-06,2021-10-20,17760 days,False
1,1,2002059,2002059,2059 Baboquivari (1963 UA),Baboquivari,2059,15.97,False,False,1.7004151927,3.8022439609,268,AMO,1.23853742528094,4.04794500021122,1963-10-16,2021-04-15,Near-Earth asteroid orbits similar to that of 1221 Amor,1.0509143841,1963-10-16,2021-04-15,21001 days,False
2,2,2002061,2002061,2061 Anza (1960 UA),Anza,2061,16.36,False,False,1.4208720673,3.1771665298,180,AMO,1.050403440408666,3.478155246544549,1960-10-22,2021-06-12,Near-Earth asteroid orbits similar to that of 1221 Amor,0.87814723125,1960-10-22,2021-06-12,22148 days,False
3,3,2002062,2002062,2062 Aten (1976 AA),Aten,2062,17.1,False,False,1.0105434154,2.2596437711,149,ATE,0.7901848121124645,1.143632683518869,1955-12-17,2019-11-10,Near-Earth asteroid orbits similar to that of 2062 Aten,0.62455017785,1955-12-17,2019-11-10,23339 days,False
4,4,2002063,2002063,2063 Bacchus (1977 HB),Bacchus,2063,17.28,False,False,0.930154254,2.0798881414,143,APO,0.7013968175846752,1.45480352028144,1977-04-24,2021-12-02,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.5748669437,1977-04-24,2021-12-02,16293 days,False
5,5,2002100,2002100,2100 Ra-Shalom (1978 RA),Ra-Shalom,2100,16.23,False,False,1.5085335612,3.3731835891,278,ATE,0.4687505916734057,1.1953224902291,1975-10-03,2021-12-02,Near-Earth asteroid orbits similar to that of 2062 Aten,0.93232501395,1975-10-03,2021-12-02,16862 days,False
6,6,2002101,2002101,2101 Adonis (1936 CA),Adonis,2101,18.64,True,False,0.4972273129,1.1118340719,45,APO,0.4418985623278233,3.305989133829608,1936-02-21,2020-06-09,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.3073033795,1936-02-21,2020-06-09,30790 days,False
7,7,2002102,2002102,2102 Tantalus (1975 YA),Tantalus,2102,16.0,True,False,1.6770846216,3.750075218,222,APO,0.9039974543742,1.67612208988604,1975-12-30,2021-09-22,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.0364952982000002,1975-12-30,2021-09-22,16703 days,False
8,8,2002135,2002135,2135 Aristaeus (1977 HA),Aristaeus,2135,18.02,True,False,0.6615382752,1.4792445531,24,APO,0.7946158478262336,2.404383436735098,1977-04-17,2020-05-30,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.40885313895000003,1977-04-17,2020-05-30,15749 days,False
9,9,2002201,2002201,2201 Oljato (1947 XC),Oljato,2201,15.25,True,False,2.3689449936,5.2971220406,234,APO,0.624199312774489,3.724972998364509,1931-12-03,2021-09-16,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.4640885234999998,1931-12-03,2021-09-16,32795 days,False
10,10,2002202,2002202,2202 Pele (1972 RA),Pele,2202,17.15,False,False,0.9875406389,2.2082079992,75,AMO,1.116882785428331,3.465288607355872,1972-09-07,2022-03-30,Near-Earth asteroid orbits similar to that of 1221 Amor,0.6103336801499999,1972-09-07,2022-03-30,18101 days,False
11,11,2002212,2002212,2212 Hephaistos (1978 SB),Hephaistos,2212,13.53,False,False,5.230641758,11.6960705369,533,APO,0.3512241310751134,3.967845678924154,1978-09-27,2022-03-14,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3.2327143894500003,1978-09-27,2022-03-14,15874 days,False
